,word,neg_adv_count,pos_adv_count
455,roughest,1.0,
456,periodically,2.0,5.0
457,spray,1.0,
458,unreasonably,3.0,
459,defiantly,6.0,8.0
460,-am,5.0,2.0
461,proven,3.0,1.0
462,voucher,42.0,15.0
463,fi,1.0,
464,dismissively,3.0,
465,seemingly,24.0,10.0
466,worst,36.0,5.0
467,spell,2.0,2.0
468,apiece,2.0,
469,smoky,2.0,
470,tad,11.0,12.0
471,one-way,3.0,
472,bare,1.0,1.0
473,.however,4.0,
474,shabby,5.0,
475,lively,22.0,52.0
476,forgot,6.0,1.0
477,definently,2.0,4.0
478,character,2.0,4.0
479,shuttle,22.0,19.0
480,drawback,2.0,4.0
481,service,15.0,10.0
482,standard,9.0,12.0
483,quarterly,1.0,
484,considerably,14.0,12.0
485,verry,1.0,
486,uptotwn,1.0,
487,boy,7.0,2.0
488,bell,15.0,6.0
489,visit,10.0,19.0
490,fiendly,1.0,
491,aren,3.0,1.0
492,overwhelmingly,3.0,4.0
493,proximately,1.0,
494,bedroom,1.0,
495,shortly,41.0,24.0
496,wildly,9.0,1.0
497,surprisingly,67.0,94.0
498,hang,1.0,
499,greet,1.0,
500,scarcely,3.0,1.0
501,window,14.0,2.0
502,cheaper,3.0,1.0
503,lie,5.0,
504,adhere,1.0,
505,awhile,3.0,1.0
506,rock,2.0,
507,easy,14.0,30.0
508,keenly,1.0,1.0
509,sum,1.0,
510,hopelessly,1.0,
511,filter,6.0,1.0
512,bizarrely,4.0,
513,start,20.0,23.0
514,mid-afternoon,1.0,
515,outright,3.0,1.0
516,specially,16.0,18.0
517,mall,9.0,10.0
518,p.m.,22.0,9.0
519,overseas,7.0,8.0
520,firendly,1.0,1.0
521,depressingly,2.0,
522,aslong,1.0,
523,summarise,1.0,
524,confidently,2.0,1.0
525,visually,6.0,9.0
526,particually,1.0,1.0
527,elevator,1.0,1.0
528,largely,18.0,16.0
529,thoughtfully,3.0,5.0
530,beat,1.0,
531,hill,8.0,10.0
532,bascially,1.0,
533,toll,1.0,
534,intermittently,9.0,1.0
535,away,8.0,
536,neither,19.0,6.0
537,cuddly,1.0,1.0
538,mustard,1.0,2.0
539,fabulously,3.0,6.0
540,turned,1.0,
541,assume,4.0,3.0
542,definatly,7.0,15.0
543,mood,2.0,
544,obbiously,1.0,
545,honest,3.0,2.0
546,art,7.0,7.0
547,again.large,1.0,
548,tiny,5.0,2.0
549,stiff,1.0,
550,orginally,1.0,2.0
551,bland,4.0,
552,sarcastically,5.0,
553,scum,1.0,
554,appropriately,13.0,6.0
555,friendliest,1.0,
556,checkout,11.0,4.0
557,angrily,3.0,
558,neck,5.0,1.0
559,individually,12.0,7.0
560,centrally,75.0,161.0
561,helpfully,3.0,6.0
562,patronizingly,1.0,
563,outgoingly,1.0,
564,server,27.0,21.0
565,hopeful,1.0,
566,wet,5.0,1.0
567,east,6.0,14.0
568,superbly,3.0,13.0
569,prominently,3.0,1.0
570,continually,11.0,4.0
571,constructively,1.0,
572,yr,5.0,3.0
573,smother,1.0,
574,unusually,12.0,17.0
575,waitress,5.0,2.0
576,kid,2.0,3.0
577,spite,2.0,1.0
578,daily,50.0,75.0
579,airtrain,1.0,
580,notoriously,6.0,3.0
581,feather,15.0,9.0
582,lonely,5.0,9.0
583,learn,3.0,
584,positively,9.0,7.0
585,negatively,4.0,5.0
586,menu,8.0,9.0
587,essentially,37.0,8.0
588,enter,13.0,9.0
589,severly,2.0,1.0
590,dearly,4.0,
591,heaven,8.0,14.0
592,abroad,3.0,8.0
593,.very,7.0,2.0
594,invoice,1.0,
595,altogether,14.0,13.0
596,manually,11.0,3.0
597,instantly,13.0,26.0
598,definitiely,1.0,1.0
599,strategically,2.0,3.0
600,reluctantly,25.0,5.0
601,notify,2.0,3.0
602,burst,1.0,1.0
603,entrance,9.0,18.0
604,passenger,3.0,
605,south,23.0,16.0
606,.lovely,1.0,
607,stunningly,3.0,7.0
608,cheaply,8.0,2.0
609,still,85.0,48.0
610,sincere,9.0,5.0
611,soundly,9.0,11.0
612,shoulder,1.0,
613,intermitantly,1.0,
614,definetly,10.0,21.0
615,dreadfully,4.0,1.0
616,uncomfortably,14.0,6.0
617,inside,63.0,33.0
618,yeah,9.0,1.0
619,spontaneously,1.0,1.0
620,advertise,9.0,1.0
621,.not,2.0,
622,bet,7.0,3.0
623,wear,1.0,
624,-.extremely,1.0,
625,fun,16.0,19.0
626,buffet,7.0,4.0
627,work,1.0,1.0
628,wake,2.0,
629,housekeeper,4.0,
630,optimally,1.0,1.0
631,idiots,1.0,
632,ostensibly,1.0,
633,naturally,10.0,9.0
634,yuck,4.0,1.0
635,nonetheless,12.0,13.0
636,explore,25.0,58.0
637,smoke,7.0,
638,twin,2.0,
639,times,21.0,10.0
640,..apparently,1.0,
641,.i,6.0,1.0
642,wierd,1.0,
643,ruff,1.0,
644,fold,2.0,1.0
645,sideboard,2.0,
646,..,17.0,4.0
647,uk,1.0,
648,felt,16.0,9.0
649,block,13.0,10.0
650,tall,1.0,
651,remotely,11.0,5.0
652,post,3.0,3.0
653,switch,3.0,1.0
654,severely,29.0,5.0
655,hall,11.0,2.0
656,staight,1.0,
657,spotlessly,6.0,75.0
658,noisily,5.0,3.0
659,everyday,10.0,6.0
660,foolishly,4.0,
661,satisfactorily,3.0,1.0
662,buger,1.0,
663,dismiss,1.0,
664,physically,12.0,5.0
665,distinctly,7.0,2.0
666,rather,8.0,3.0
667,utmost,1.0,
668,device,2.0,
669,annoyingly,4.0,4.0
670,sufficently,1.0,
671,bathtime,1.0,
672,forgiven,3.0,1.0
673,pricier,1.0,
674,hat,5.0,
675,stairway,5.0,3.0
676,toast,4.0,13.0
677,has'nt,1.0,
678,luxury,3.0,6.0
679,farther,8.0,9.0
680,rob,1.0,
681,regrettably,5.0,
682,don,3.0,2.0
683,settle,5.0,
684,least,17.0,12.0
685,headache,1.0,
686,wall,15.0,2.0
687,actually,20.0,15.0
688,freindly,9.0,12.0
689,shame,2.0,
690,definitly,7.0,18.0
691,high,11.0,7.0
692,amply,2.0,2.0
693,trendy,4.0,2.0
694,-pm,12.0,5.0
695,blown,2.0,
696,tidy,2.0,2.0
697,decidedly,6.0,2.0
698,perplexed,1.0,
699,convenveniently,1.0,
700,dark,13.0,2.0
701,elswhere,3.0,
702,bought,2.0,
703,locally,9.0,13.0
704,jaw-droppingly,1.0,
705,moderately,16.0,15.0
706,glad,5.0,11.0
707,begrudingly,1.0,
708,noticeably,10.0,2.0
709,bravely,1.0,
710,margarita,1.0,2.0
711,bakery,2.0,1.0
712,.so,6.0,1.0
713,debit,10.0,
714,philly,17.0,23.0
715,train,8.0,5.0
716,somehow,23.0,18.0
717,maintain,1.0,
718,profusely,15.0,5.0
719,overdone,1.0,1.0
720,yogurt,2.0,7.0
721,score,9.0,3.0
722,everytime,19.0,17.0
723,.maybe,2.0,1.0
724,oatmeal,1.0,2.0
725,guard,3.0,2.0
726,sore,10.0,2.0
727,anyway,8.0,5.0
728,family-friendly,2.0,2.0
729,island,2.0,
730,hey,1.0,1.0
731,decide,4.0,3.0
732,afford,3.0,2.0
733,reliably,3.0,2.0
734,unfriendly,55.0,3.0
735,hugely,11.0,3.0
736,advance.we,1.0,
737,place,5.0,1.0
738,leather,5.0,5.0
739,routinely,12.0,2.0
740,corner,5.0,4.0
741,spot,3.0,2.0
742,punctually,1.0,
743,jokingly,3.0,2.0
744,daughter,12.0,8.0
745,backward,1.0,4.0
746,extensively,17.0,18.0
747,needle,2.0,4.0
748,strangely,14.0,5.0
749,bait,1.0,
750,vastly,7.0,4.0
751,understand,15.0,4.0
752,assuredly,2.0,2.0
753,uncharacteristically,1.0,
754,subsequently,7.0,2.0
755,literallly,1.0,
756,enitrely,1.0,
757,tiles-apparently,1.0,
758,marginally,13.0,2.0
759,secondly,21.0,10.0
760,regardless,21.0,25.0
761,sparsely,5.0,
762,drunk,1.0,
763,sound,3.0,3.0
764,heater,8.0,2.0
765,riveraide,1.0,
766,arena,1.0,1.0
767,roughly,19.0,7.0
768,interestingly,4.0,
769,proof,2.0,1.0
770,noice,3.0,1.0
771,wrong,10.0,8.0
772,blatantly,9.0,1.0
773,dial-up,1.0,
774,quirky,3.0,3.0
775,north,24.0,35.0
776,temporarily,6.0,4.0
777,sometimes,13.0,14.0
778,-night,1.0,1.0
779,yearly,4.0,4.0
780,thrown,2.0,
781,mouldy,1.0,
782,inn,1.0,1.0
783,morning.apparently,1.0,
784,move.there,1.0,
785,cancell,1.0,
786,tinier,1.0,
787,menu.the,1.0,
788,lug,1.0,1.0
789,toilet,7.0,1.0
790,officially,9.0,1.0
791,.that,1.0,
792,neighbours,3.0,2.0
793,extreemly,1.0,2.0
794,videos,1.0,
795,starkly,1.0,
796,suppose,9.0,3.0
797,casually,5.0,1.0
798,lakefront,1.0,
799,immediately,7.0,2.0
800,horrible,1.0,
801,eco-friendly,2.0,6.0
802,sigh,1.0,
803,neigbourhood,1.0,
804,similarly,1.0,2.0
805,i.e,2.0,
806,poolside,2.0,1.0
807,northerly,1.0,1.0
808,homely,5.0,12.0
809,generously,7.0,16.0
810,freshly,18.0,31.0
811,sporadically,5.0,
812,add,1.0,2.0
813,substandard,6.0,
814,quietly,19.0,19.0
815,tightly,7.0,
816,fax,1.0,
817,.the,6.0,
818,makeover,6.0,
819,fleas,1.0,
820,bug,4.0,
821,handicap,2.0,1.0
822,solely,17.0,5.0
823,sway,3.0,
824,battery,1.0,
825,unacceptably,3.0,
826,nightclub,4.0,
827,taix,1.0,
828,practicatlly,1.0,
829,mysteriously,9.0,2.0
830,mainly,4.0,1.0
831,unfortunatly,10.0,2.0
832,'heavenly,2.0,1.0
833,broken,10.0,1.0
834,delightfully,3.0,8.0
835,maddeningly,2.0,
836,darkly,4.0,
837,frighteningly,2.0,
838,foul,3.0,1.0
839,..so,1.0,
840,purposefully,2.0,2.0
841,asst,1.0,
842,bulbs,2.0,
843,closeby,2.0,1.0
844,arrival,6.0,3.0
845,throng,2.0,
846,impossibly,5.0,2.0
847,skyway,1.0,
848,award,4.0,1.0
849,pack,4.0,2.0
850,interior,5.0,3.0
851,slept,3.0,3.0
852,chilly,18.0,31.0
853,unseasonably,3.0,2.0
854,duster,3.0,
855,beverly,2.0,5.0
856,laptop,1.0,
857,gently,6.0,3.0
858,albeit,3.0,2.0
859,nowadays,2.0,1.0
860,unsurprisingly,3.0,1.0
861,attractive,1.0,
862,-th,5.0,3.0
863,densely,2.0,
864,loud,16.0,2.0
865,wouldn,1.0,
866,notably,6.0,5.0
867,friendly.not,1.0,
868,overnight,7.0,16.0
869,till,4.0,2.0
870,trolly,11.0,17.0
871,cart,3.0,
872,wrongly,6.0,
873,frightfully,2.0,
874,amidst,2.0,
875,neighbor,3.0,3.0
876,homeless,1.0,2.0
877,dinner,20.0,16.0
878,disco,2.0,
879,multiple,2.0,1.0
880,adequately,19.0,12.0
881,meticilously,1.0,
882,rough,2.0,
883,helicopter,3.0,
884,internally,2.0,2.0
885,triple,4.0,1.0
886,parkway,3.0,1.0
887,bold,1.0,
888,husband,5.0,5.0
889,shampoo,3.0,1.0
890,expensive,5.0,2.0
891,crudely,1.0,
892,inefficiently,1.0,
893,bumper,1.0,
894,held,1.0,
895,apology,9.0,2.0
896,exclusively,11.0,5.0
897,alleyway,3.0,1.0
898,internationally,3.0,3.0
899,saturday,1.0,
900,throughly,3.0,3.0
901,haphazardly,2.0,
902,awoke,3.0,1.0
903,commercially,1.0,
904,dime,9.0,
905,cold,6.0,1.0
906,elite,3.0,
907,add'l,1.0,
908,outdated,1.0,
909,whilst,3.0,1.0
910,shop,1.0,
911,bag,2.0,
912,queen,3.0,1.0
913,calmly,4.0,1.0
914,prime,1.0,
915,inconveniently,3.0,1.0
916,respectfully,3.0,3.0
917,offset,1.0,
918,amazed,1.0,
919,woefully,7.0,
920,funny,6.0,1.0
921,near-by,2.0,
922,bubbly,2.0,15.0
923,walk,6.0,6.0
924,defenatly,1.0,
925,efficiently,11.0,29.0
926,idiotically,1.0,
927,thick,1.0,1.0
928,vibrate,1.0,
929,non-time,1.0,
930,unlikely,2.0,
931,nightmare,3.0,1.0
932,sight,3.0,3.0
933,lifeguard,5.0,3.0
934,everyone,1.0,
935,stuffy,4.0,3.0
936,curtly,5.0,
937,fullly,2.0,
938,littler,1.0,
939,encounter,9.0,7.0
940,inmediatly,1.0,
941,patiently,10.0,7.0
942,odor,6.0,
943,spoke,2.0,2.0
944,.there,6.0,2.0
945,infinitely,2.0,1.0
946,futile,1.0,
947,read,3.0,1.0
948,realise,1.0,
949,curbside,2.0,
950,coldly,4.0,1.0
951,fault,2.0,3.0
952,roll-away,4.0,1.0
953,meantime,4.0,
954,annoyed,5.0,
955,lobster,1.0,
956,mattress,17.0,3.0
957,rely,18.0,6.0
958,potentially,12.0,8.0
959,mgmt,1.0,1.0
960,nearest,2.0,
961,queu,1.0,
962,ankle,2.0,1.0
963,niave,1.0,
964,won`t,1.0,
965,voluntarily,3.0,1.0
966,master,5.0,4.0
967,salad,2.0,
968,accurately,10.0,6.0
969,mildly,12.0,4.0
970,diagonally,2.0,3.0
971,jewerly,1.0,1.0
972,sort,6.0,2.0
973,alarm,1.0,
974,wifi,2.0,1.0
975,bid,1.0,
976,flatotel,1.0,
977,purely,14.0,6.0
978,endlessly,3.0,2.0
979,hallways,3.0,
980,handsomely,1.0,1.0
981,couldnt,2.0,
982,plain,7.0,4.0
983,tastefully,17.0,85.0
984,mecca,1.0,
985,flagship,1.0,
986,imo,1.0,
987,free,4.0,2.0
988,fridge,5.0,2.0
989,admittedly,19.0,7.0
990,struck,2.0,
991,quietness,1.0,
992,eat,10.0,10.0
993,cheerfully,9.0,17.0
994,club,1.0,
995,wait,12.0,8.0
996,suprisingly,6.0,3.0
997,screwdriver,2.0,
998,sooner,5.0,5.0
999,notch,6.0,12.0
1000,nastiness,1.0,
1001,awesome,4.0,9.0
1002,laggy,1.0,
1003,plaster,1.0,
1004,overall,6.0,3.0
1005,guy,2.0,
1006,lift,5.0,5.0
1007,lifetime,2.0,2.0
1008,matress,4.0,
1009,aimlessly,2.0,2.0
1010,onsite,3.0,4.0
1011,railway,1.0,
1012,definietely,2.0,
1013,slow,4.0,1.0
1014,safely,8.0,16.0
1015,understaffed,2.0,
1016,good,1.0,2.0
1017,chat,1.0,8.0
1018,star,6.0,1.0
1019,check,6.0,1.0
1020,alike,5.0,5.0
1021,dimly,10.0,7.0
1022,scrupulously,2.0,2.0
1023,intensely,4.0,
1024,nothin,1.0,
1025,upset,4.0,1.0
1026,unfreindly,1.0,
1027,musty,8.0,1.0
1028,thirsty,1.0,
1029,extraordinarily,8.0,3.0
1030,afloat,1.0,
1031,increasingly,3.0,
1032,historically,1.0,3.0
1033,guess,11.0,4.0
1034,father,13.0,6.0
1035,queue,9.0,3.0
