identifier_plus_noun,identifier_count,noun_count,phrase_count,PMI
few thing,6,12,1,8.314897892819832
didn t,5,8,5,11.484822894262146
next day,17,14,6,9.174967631675358
very outgoing,6,0,1,0.0
great night,6,15,1,7.992969797932471
beautiful place,2,4,1,11.484822894262146
t case,27,1,1,9.729935392098676
desk staff,1,8,1,11.484822894262146
young men,3,1,1,12.899860393540989
female attendant,1,1,1,14.484822894262146
common area,4,7,2,10.677467972204541
dangerous metal,2,1,1,13.484822894262146
common area,4,7,2,10.677467972204541
impractical design,1,3,1,12.899860393540989
fair quality,1,6,1,11.899860393540989
dreary appearance,1,1,1,14.484822894262146
loud noise,5,7,2,10.35553987731718
first night,25,15,5,8.256004203766265
lovely hotel,3,20,1,8.577932298653627
t deliver,27,1,1,9.729935392098676
small bathroom,44,13,4,7.3249515574837565
quiet side,3,11,1,9.440428774903692
foreign payment,1,1,1,14.484822894262146
major renovation,8,4,2,10.484822894262146
major construction,8,7,2,9.677467972204541
next door,17,9,6,9.81239755229065
steep staircase,9,6,4,10.729935392098676
dangerous experience,2,7,1,10.677467972204541
friendly staff,2,8,1,10.484822894262146
first room,25,100,6,5.782073015433853
steep step,9,4,2,10.314897892819832
loft bed,3,14,1,9.092505471483385
cristal wall,1,3,1,12.899860393540989
other suite,19,2,1,9.23689538081856
smaller room,2,100,1,6.840966704487421
comfortable bed,3,14,1,9.092505471483385
entire bathroom,1,13,1,10.784383176121054
long time,7,18,2,8.507542970762229
just cleaning,6,2,1,10.899860393540989
slight set,1,1,1,14.484822894262146
along way,1,3,1,12.899860393540989
down stair,1,6,1,11.899860393540989
narrow wouldn,6,1,1,11.899860393540989
older people,2,4,1,11.484822894262146
good impression,21,3,1,8.507542970762229
more towel,13,3,1,9.199420675399898
like blood,1,1,1,14.484822894262146
much privacy,8,3,1,9.899860393540989
other gift,19,1,1,10.23689538081856
other belonging,19,0,1,0.0
storey room,1,100,1,7.840966704487421
narrow winding,6,0,1,0.0
main street,4,2,1,11.484822894262146
heated floor,1,22,1,10.025391275624848
wet shoe,1,1,1,14.484822894262146
first impression,25,3,2,9.256004203766265
dark reception,2,4,1,11.484822894262146
duplex suite,3,2,1,11.899860393540989
dutch stair,1,6,1,11.899860393540989
most accommodating,2,0,1,0.0
didn t,5,8,5,11.484822894262146
only place,17,4,1,8.397360053011806
cold spell,8,2,2,11.484822894262146
first room,25,100,6,5.782073015433853
second room,11,100,3,5.96649758657128
huge cold,5,2,1,11.162894799374783
graded backpacker,1,1,1,14.484822894262146
picturesque hotel,1,20,1,10.162894799374783
old school,9,1,1,11.314897892819832
major re,8,1,1,11.484822894262146
expensive hotel,6,20,1,7.577932298653627
expensive room,6,100,2,6.256004203766265
cold bacon,8,3,1,9.899860393540989
congealed fat,1,1,1,14.484822894262146
only complaint,17,2,2,10.397360053011806
little construction,23,7,1,7.153906016147529
free drink,9,8,5,10.636825987707196
wooden platform,1,1,1,14.484822894262146
first room,25,100,6,5.782073015433853
currently being,2,0,2,0.0
deluxe room,1,100,1,7.840966704487421
extensive building,3,7,1,10.092505471483385
busy road,2,2,1,12.484822894262146
clean paint,5,1,1,12.162894799374783
first night,25,15,5,8.256004203766265
feeble excuse,1,1,1,14.484822894262146
full refund,5,1,1,12.162894799374783
better hotel,7,20,1,7.355539877317179
terrible experience,4,7,1,9.677467972204541
major problem,8,4,1,9.484822894262146
didn t,5,8,5,11.484822894262146
much impact,8,1,1,11.484822894262146
bottom floor,1,22,1,10.025391275624848
strong eggy,1,1,1,14.484822894262146
actual room,2,100,2,7.840966704487421
abnormal smell,1,9,1,11.314897892819832
completely considering,1,0,1,0.0
neater ie,1,1,1,14.484822894262146
more sofa,13,1,1,10.784383176121054
better breakfast,7,12,2,9.092505471483385
soft closing,3,1,1,12.899860393540989
tiny twin,3,2,1,11.899860393540989
nicer room,1,100,1,7.840966704487421
only upset,17,1,1,10.397360053011806
fruit etc,2,2,1,12.484822894262146
extra cost,6,3,2,11.314897892819832
next door,17,9,6,9.81239755229065
bed side,2,11,1,10.025391275624848
remote control,1,1,1,14.484822894262146
also something,5,2,1,11.162894799374783
horrible smell,4,9,3,10.89986039354099
small room,44,100,16,6.381535085850124
free drink,9,8,5,10.636825987707196
small drink,44,8,1,6.025391275624848
first night,25,15,5,8.256004203766265
horrible smell,4,9,3,10.89986039354099
clean bed,5,14,1,8.35553987731718
ur bed,1,14,1,10.677467972204541
s disgusting,6,0,1,0.0
really annoying,5,1,1,12.162894799374783
separate bed,2,14,1,9.677467972204541
european thing,2,12,1,9.899860393540989
bad condition,14,2,1,9.677467972204541
low quality,2,6,1,10.899860393540989
little cleaner,23,1,1,9.961260938205132
tired lot,1,1,1,14.484822894262146
little dirty,23,2,1,8.961260938205132
small leak,44,1,1,9.025391275624848
worth mentioning,2,0,1,0.0
good value,21,6,5,9.829471065649592
tall girl,2,1,1,13.484822894262146
expensive location,6,2,1,10.899860393540989
nearest subway,1,1,1,14.484822894262146
massive expansion,2,1,1,13.484822894262146
great bit,6,9,1,8.729935392098676
new pillow,8,5,1,9.162894799374783
good quality,21,6,2,8.507542970762229
t aware,27,1,1,9.729935392098676
separate room,2,100,1,6.840966704487421
double deluxe,11,1,1,11.025391275624848
different member,10,1,1,11.162894799374783
light fitting,1,1,1,14.484822894262146
bad experience,14,7,3,9.455075550868093
only complaint,17,2,2,10.397360053011806
next door,17,9,6,9.81239755229065
major issue,8,8,2,9.484822894262146
expensive side,6,11,1,8.440428774903692
still waiting,3,0,1,0.0
little card,23,1,1,9.961260938205132
free drink,9,8,5,10.636825987707196
lovely garden,3,2,1,11.899860393540989
next morning,17,7,2,8.590005130954202
good hour,21,2,1,9.092505471483385
t stay,27,6,1,7.144972891377521
very annoying,6,1,1,11.899860393540989
real place,4,4,1,10.484822894262146
really listening,5,0,1,0.0
whole bathroom,8,13,2,8.784383176121054
half hotel,1,20,1,10.162894799374783
next day,17,14,6,9.174967631675358
shouldnt get,1,2,1,13.484822894262146
other compensation,19,1,1,10.23689538081856
extensive development,3,1,1,12.899860393540989
very disturbing,6,0,2,0.0
sound rickety,1,1,1,14.484822894262146
worse turning,1,0,1,0.0
chinese water,1,7,1,11.677467972204541
t mean,27,2,2,9.729935392098676
complete view,2,3,1,11.899860393540989
new towel,8,3,1,9.899860393540989
transparent glass,1,2,1,13.484822894262146
own privacy,3,3,1,11.314897892819832
considerable renovation,1,4,1,12.484822894262146
free drink,9,8,5,10.636825987707196
nice gesture,6,1,1,11.899860393540989
tea coffee,3,9,3,11.314897892819832
first room,25,100,6,5.782073015433853
local law,3,1,1,12.899860393540989
real bazaar,4,1,1,12.484822894262146
sink wasn,1,1,1,14.484822894262146
own experience,3,7,1,10.092505471483385
t sleep,27,3,1,8.14497289137752
hot problem,9,4,1,9.314897892819832
next day,17,14,6,9.174967631675358
better room,7,100,1,5.0336117824298166
proper sleep,3,3,1,11.314897892819832
new room,8,100,2,5.840966704487421
historical building,1,7,1,11.677467972204541
main entrance,4,3,1,10.899860393540989
upper level,2,4,2,12.484822894262146
lower level,6,4,1,9.899860393540989
steep ladder,9,1,1,11.314897892819832
first impression,25,3,2,9.256004203766265
back door,3,9,1,9.729935392098676
back rest,3,1,1,12.899860393540989
precarious breakfast,1,12,1,10.899860393540989
outside restaurant,1,2,1,13.484822894262146
hot water,9,7,1,8.507542970762229
too sharing,1,0,1,0.0
particularly bathroom,1,13,1,10.784383176121054
clear sign,1,2,1,13.484822894262146
daily cleaning,2,2,1,12.484822894262146
more attention,13,1,1,10.784383176121054
previous review,5,3,1,10.577932298653627
extortionate price,1,7,1,11.677467972204541
good idea,21,1,1,10.092505471483385
few time,6,18,2,8.729935392098676
first glance,25,1,1,9.840966704487421
first floor,25,22,3,6.96649758657128
small refrigerator,44,1,1,9.025391275624848
upstairs bedroom,1,2,1,13.484822894262146
nightmare room,1,100,1,7.840966704487421
different sound,10,2,1,10.162894799374783
clean room,5,100,2,6.5190386096000585
shampoo razor,1,1,1,14.484822894262146
only negative,17,1,1,10.397360053011806
huge problem,5,4,1,10.162894799374783
other guest,19,9,3,8.651932880097403
pre booking,1,3,1,12.899860393540989
very welcoming,6,0,1,0.0
larger construction,4,7,1,9.677467972204541
first sight,25,1,1,9.840966704487421
reduced space,2,9,1,10.314897892819832
steep stair,9,6,2,9.729935392098676
other end,19,1,1,10.23689538081856
big issue,9,8,1,8.314897892819832
quiet hotel,3,20,1,8.577932298653627
enough soap,5,1,1,12.162894799374783
non issue,2,8,1,10.484822894262146
visual inconvenience,1,1,1,14.484822894262146
open concept,1,1,1,14.484822894262146
whole bathroom,8,13,2,8.784383176121054
huge fan,5,1,1,12.162894799374783
