adjective,adj_count
tinny,1.0
visa,1.0
plugs,2.0
checked,1.0
pick,1.0
storage,1.0
fit,1.0
inch,1.0
nowhere,1.0
spoke,1.0
misleading,2.0
upon,1.0
card,1.0
showered,1.0
pavement,1.0
pokey,1.0
appreciate,1.0
requested,1.0
marble,1.0
regent,1.0
recommended,1.0
bag,1.0
seating,1.0
unused,1.0
flooded,1.0
accustomed,1.0
bare,1.0
fix,1.0
teenage,1.0
par,1.0
contortionist,1.0
shoebox,1.0
reluctant,1.0
spoken,1.0
unprofessional,3.0
canadian,1.0
bunch,1.0
viewable,1.0
concerned,1.0
quite,1.0
struggle,1.0
purpose,1.0
respective,1.0
upfront,1.0
properly,1.0
run,1.0
cat,1.0
sad,1.0
tub,1.0
sour,1.0
wear,1.0
shabby,1.0
need,1.0
freshen,1.0
creaky,1.0
welcoming,1.0
awake,1.0
change,1.0
