adjective,adj_count
less,8
equal,2
alright,1
drawer,1
tattered,1
arrive,1
underwear,2
creepiest,1
want,3
sister,8
planned,1
voice,1
internet,1
bristo,1
att,3
nglamporna,1
gamma,1
even,1
poky,1
minder,1
ett,1
dag,1
chest,1
stayed,1
supplementary,1
inclusive,1
forth,2
bathroom,1
cracked,1
flush,2
human,3
hygiene,1
hostel,1
received,1
cancel,2
further,2
past,3
lye,1
website,2
incorrect,1
greasy,1
cellar,1
pay,1
smile,2
east,1
frustrating,1
oppressive,1
multiple,1
anniversary,1
outrageous,1
felt,1
unpleasant,3
enclosed,2
leek,1
club,1
wooded,1
wine,1
charger,1
unbending,1
phoned,1
exact,2
bright,4
bearable,1
west,1
likely,1
rang,1
idiotic,1
laundry,1
ground,3
rear,1
atleast,1
relevant,1
uncertain,1
mirror,1
working,1
whilst,1
unexpected,1
following,2
inadmissible,1
size,1
fatter,1
pending,1
lacked,1
warmth,1
clinical,1
certain,5
bird,1
tatty,2
usable,1
apologetic,2
various,2
detrimental,1
forget,1
start,3
decided,1
refundable,2
sprayed,1
drafty,2
youngest,1
marred,1
chargeable,1
artificial,1
laptop,1
replacement,1
con,1
coffee,2
bin,1
manageable,4
north,1
dual,1
foud,1
randomly,1
operative,1
solo,1
automated,1
frequent,1
scramble,1
bags,1
mixup,1
sealant,1
expect,1
lavish,1
impaired,1
hotel,1
zest,1
wont,2
stumble,1
cheats,1
showed,1
unreasonable,1
alone,1
child,1
cups,1
discounted,1
spotlessly,1
cleaning,1
grand,4
unsettling,1
animal,1
linen,1
natural,4
lighter,1
trained,1
awesome,1
attitude,2
underfloor,1
proposed,1
wanted,1
encouraging,1
xmas,1
unnecessarily,1
fussy,1
snooty,1
red,3
operational,1
ensconced,1
broken,4
operate,1
correct,3
unsympathetic,1
stupid,1
pointless,1
qualified,1
mix,1
pale,1
atrocious,1
alien,1
unbelievable,1
haven,1
infant,1
noted,1
illegal,1
booking,1
professional,1
squash,1
combs,1
grotty,1
burned,1
disgusting,1
ample,1
cleanest,1
didnt,1
responsive,2
avoid,1
unblocked,1
unapologetic,1
victorian,1
wash,1
proud,1
foul,1
slightest,1
swipe,2
rough,1
sleeper,1
bitter,1
hazardous,2
gentleman,1
overheard,1
soulless,1
naff,1
medicinal,1
slumber,1
bother,1
yellow,1
side,1
wifi,1
spartan,1
conducive,1
hadn,1
powerful,1
leak,1
stained,1
feel,1
personalised,1
scratchy,1
former,1
toxic,1
fabric,1
remain,1
pricy,1
buggy,1
baby,1
irritating,1
akward,1
seperate,1
unsealed,1
undercooked,1
stolen,1
bedside,1
torn,1
reputable,1
weary,1
severe,1
stowaways,1
insult,1
notice,1
neighbouring,1
woeful,1
yoga,1
teeny,1
functional,2
cosy,2
hang,1
white,1
mess,1
impressed,1
dissapointed,1
wouldnt,1
tiniest,1
lengthy,1
staying,1
setup,1
empowered,1
dubious,1
franked,1
insignificant,1
satish,1
adjust,1
welcome,1
upset,1
online,3
january,1
malfunction,1
unknown,1
tinny,1
visa,1
plugs,2
checked,1
pick,1
storage,1
fit,1
inch,1
nowhere,1
spoke,1
misleading,2
upon,1
card,1
showered,1
pavement,1
pokey,1
appreciate,1
requested,1
marble,1
regent,1
recommended,1
bag,1
seating,1
unused,1
flooded,1
accustomed,1
bare,1
fix,1
teenage,1
par,1
contortionist,1
shoebox,1
reluctant,1
spoken,1
unprofessional,3
canadian,1
bunch,1
viewable,1
concerned,1
quite,1
struggle,1
purpose,1
respective,1
upfront,1
properly,1
run,1
cat,1
sad,1
tub,1
sour,1
wear,1
shabby,1
need,1
freshen,1
creaky,1
welcoming,1
awake,1
change,1
